VCID	VC_taxonomy	VC_rank	VC_taxid	VC_linegae	VC_lifestyle	VC_host	VC_hostid	VC_host_lineage	VC_hostrange	lifestyle2
VC_6565_0	Unassigned	Unassigned	Unassigned	Unassigned;Unassigned;Unassigned;Unassigned;Unassigned;Unassigned;Unassigned	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6566_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6566_1	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Unknown	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_6567_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Enterocloster	2719313	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_6567_1	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Clostridium	1485	Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_6568_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Lactobacillus	1578	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_6569_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Eubacterium	1730	Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_657_0	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Virulent	Succinivibrio	83770	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_6571_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate
VC_6574_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate
VC_6576_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate
VC_6576_1	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate
VC_6577_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	Butyricicoccus	580596	Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Butyricicoccus;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_6578_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6579_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_658_0	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6580_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6584_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_6585_0	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Virulent	Prevotella	838	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_6585_1	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Virulent	Prevotella	838	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_6585_2	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Virulent	Bacteroides	816	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_6585_3	Podoviridae	family	10744	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Podoviridae;;	Virulent	Prevotella	838	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_6587_0	Intestiviridae	family	2942964	Viruses;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;;	Virulent	Porphyromonas	836	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Virulent
VC_6588_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Temperate	Ruminococcus	1263	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_6589_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6590_0	Siphoviridae	family	10699	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Siphoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6591_0	Diorhovirus intestinalis	species	2955762	Viruses;Uroviricota;Caudoviricetes;Crassvirales;Intestiviridae;Diorhovirus;Diorhovirus intestinalis	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Temperate+Virulent
VC_6592_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Unknown	Akkermansia	239934	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate+Virulent
VC_6593_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Temperate	Ruminococcus	1263	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;	Unknown;single-genus;single-family;single-order;single-class;single-phylum	Temperate
VC_6593_1	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
VC_6594_0	Myoviridae	family	10662	Viruses;Uroviricota;Caudoviricetes;Caudovirales;Myoviridae;;	Virulent	Unassigned	Unassigned	Unassigned	Unassigned	Virulent
